Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions by Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percenta
N2O,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,+%
SF6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
U.S. Territories,23.4,23.5,24.4,25.3,26.8,25.3,24.7,25.3,24.6,24.5,46.5,55.5,54.6,58.5,60.6,59.7,58,54.2,43.8,41.8,36.5,35.2,34.2,28.9,29.1,29.3,27,26.3,26.3,25.1,23.4,23.9,22.7,0.40%
Total Gross Emissions (Sources),6536.9,6472.7,6576.4,6686.5,6782.6,6862.1,7056.3,7109,7179,7218.6,7419.9,7287.3,7329.9,7386.9,7492.3,7494.6,7429.2,7529.9,7326.4,6866.9,7066,6911.8,6660.9,6845.4,6905.9,6736.2,6580,6551,6752.7,6590.1,6001.8,6328.8,6343.2,100.00%
LULUCF Sector Net Totalc,-976.7,-989,-1007.4,-991.3,-1005.2,-980.2,-1011.2,-985.2,-996.3,-968.5,-983.7,-979.8,-924.8,-957.9,-860.2,-907.7,-951.9,-900.3,-912.8,-850.9,-886.3,-941.7,-929.2,-886.6,-923.7,-820.2,-916.8,-926,-915.5,-863.6,-904.4,-910.6,-854.2,-13.50%
Net Emissions (Sources and Sinks),5560.2,5483.7,5569,5695.1,5777.4,5881.9,6045.1,6123.8,6182.7,6250.2,6436.2,6307.6,6405.1,6429,6632.1,6586.9,6477.2,6629.6,6413.5,6016,6179.7,5970,5731.7,5958.8,5982.2,5916,5663.2,5625,5837.3,5726.6,5097.4,5418.2,5489,86.50%
+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Percent of total (gross) emissions excluding emissions from LULUCF for the year 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes primarily HFC-134a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c The LULUCF sector net total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus LULUCF net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Total gross emissions are presented without LULUCF. Net emissions are presented with LULUCF. Emissions from electric power are allocated based on aggregate electricity use in each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
