Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Gas (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Natural Gas Systems,"7,813","8,005","7,898","7,891","7,974","7,715","7,658","7,735","7,633","7,501","7,613","7,646","7,573","7,540","7,605","7,505","7,789","7,722","7,837","7,398","7,138","6,930","6,762","6,723","6,633","6,676","6,482","6,548","6,795","6,741","6,439","6,235","6,183"
Landfills,"7,063","7,155","7,143","7,064","7,053","6,868","6,733","6,358","5,979","5,715","5,586","5,415","5,363","5,458","5,365","5,275","5,187","5,100","5,014","4,928","4,964","4,631","4,691","4,558","4,550","4,501","4,359","4,414","4,512","4,595","4,431","4,359","4,277"
Manure Management,"1,398","1,463","1,408","1,476","1,582","1,632","1,601","1,676","1,812","1,815","1,823","1,880","1,911","1,923","1,860","1,964","1,967","2,147","2,077","2,034","2,111","2,130","2,208","2,118","2,102","2,246","2,324","2,343","2,418","2,382","2,390","2,373","2,312"
Coal Mining,"3,860","3,735","3,628","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,552","2,607","2,591","3,026","3,194","3,286","2,846","2,606","2,585","2,583","2,448","2,154","2,192","2,110","1,892","1,648","1,595","1,558"
Petroleum Systems,"1,765","1,773","1,746","1,759","1,720","1,730","1,797","1,826","1,759","1,678","1,721","1,739","1,715","1,756","1,779","1,723","1,877","1,859","1,969","1,791","1,851","1,945","1,893","2,246","2,315","2,200","1,829","2,171","2,108","1,865","1,904","1,737","1,415"
Wastewater Treatment,811,823,838,838,846,837,830,834,835,839,835,825,825,818,810,809,808,807,806,790,785,788,789,778,773,780,775,770,763,755,748,738,743
Rice Cultivation,677,698,679,684,648,683,704,638,730,679,801,679,767,639,630,735,641,659,587,699,768,692,631,646,628,700,711,597,711,558,664,653,674
Stationary Combustion,345,352,363,340,332,332,344,311,286,291,309,289,292,302,310,313,293,309,318,318,338,331,302,348,355,338,315,307,344,351,285,286,307
Abandoned Oil and Gas Wells,279,281,283,285,286,288,289,290,291,291,292,293,294,294,294,294,294,295,295,296,296,296,297,297,298,299,299,301,301,302,303,306,303
Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257,247,237,232,224,225
Mobile Combustion,258,251,253,250,249,248,244,237,228,206,197,186,177,169,163,154,151,145,136,130,128,128,121,118,112,109,107,104,101,102,91,92,93
Composting,15,17,20,25,31,35,40,44,48,53,60,60,61,69,74,75,75,79,80,75,73,75,77,81,84,85,91,98,90,91,92,92,92
Field Burning of Agricultural Residues,19,19,20,20,20,17,21,21,20,21,20,19,22,27,23,23,22,23,21,19,25,18,21,21,23,21,22,22,22,23,22,22,22
Anaerobic Digestion at Biogas Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carbide Production and Consumption,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferroalloy Production,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incineration of Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
