Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lubricants,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.8,7.8,8.0,8.4
CO2,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.8,7.8,8.0,8.4
Total Transportation,1524.6,1477.9,1536.8,1573.3,1627.8,1662.3,1717.7,1743.7,1785.9,1856.9,1907.3,1879.2,1919.7,1928.0,1960.8,1970.8,1971.0,1972.4,1868.2,1793.6,1799.8,1766.8,1747.6,1751.1,1785.6,1793.8,1828.8,1846.4,1876.5,1879.5,1629.5,1810.6,1807.8
International Bunker Fuelsf,54.7,61.3,51.3,41.0,40.2,40.2,41.2,44.1,45.6,37.7,34.2,32.8,34.5,36.3,42.5,44.6,46.0,46.6,50.2,46.4,47.6,39.9,35.4,29.4,28.6,31.5,34.9,34.5,32.4,26.2,22.7,22.7,25.3
Ethanol CO2g,4.1,4.7,5.4,6.3,7.0,7.5,5.4,6.8,7.6,8.0,9.0,9.5,11.2,15.3,19.1,21.6,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74.0,74.2,76.9,77.7,78.6,78.7,68.1,75.4,75.0
Biodiesel CO2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3.0,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7,16.1,15.6
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Consists of emissions from jet fuel consumed by domestic operations of commercial aircraft (no bunkers).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Consists of emissions from jet fuel and aviation gasoline consumption by general aviation and military aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Fluctuations in emission estimates are associated with fluctuations in reported fuel consumption and may reflect issues with data sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Other emissions from electric power are a result of waste incineration (as the majority of MSW is combusted in “trash-to-steam” electric power plants), electrical equipment, and a portion of other process uses of carbonates (from pollution control equipment installed in electric power plants).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e CO2 estimates reflect natural gas used to power pipelines, but not electricity. While the operation of pipelines produces CH4 and N2O, these emissions are not directly attributed to pipelines in the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Emissions from International Bunker Fuels include emissions from both civilian and military activities; these emissions are not included in the transportation totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Ethanol and biodiesel CO2 estimates are presented for informational purposes only. See Section 3.11 and the estimates in LULUCF (see Chapter 6), in line with IPCC methodological guidance and reporting obligations under the Paris Agreement and the UNFCCC, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Passenger cars and light-duty trucks include vehicles typically used for personal travel and less than 8,500 lbs; medium- and heavy-duty trucks include vehicles larger than 8,500 lbs. HFC emissions primarily reflect HFC-134a. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
